Rank;Titel;PopulærTitel;Nummer;ACCN;EliUrl
B;Bekendtgørelse om synsvirksomheder;Synsvirksomhedsbekendtgørelsen;999;B20240099905;https://www.retsinformation.dk/eli/lta/2024/999
B;Bekendtgørelse om fælles dataansvar i forbindelse med administration af digitale lægeattester;;993;B20240099305;https://www.retsinformation.dk/eli/lta/2024/993
B;Bekendtgørelse om kørekort;Kørekortbekendtgørelsen;875;B20240087505;https://www.retsinformation.dk/eli/lta/2024/875
B;Bekendtgørelse om godkendelse af kørelærere;;749;B20240074905;https://www.retsinformation.dk/eli/lta/2024/749
B;Bekendtgørelse om udrykningskørsel m.v.;;588;B20240058805;https://www.retsinformation.dk/eli/lta/2024/588
B;Bekendtgørelse om ændring af bekendtgørelse om køretøjers indretning og udstyr i Grønland;;550;B20240055005;https://www.retsinformation.dk/eli/lta/2024/550
B;Bekendtgørelse om godkendelse af prøvningsinstanser og kontrolinstanser på det køretøjstekniske område;;542;B20240054205;https://www.retsinformation.dk/eli/lta/2024/542
B;Bekendtgørelse om udstationeringsvilkår ved udførelse af cabotagekørsel, den indledende eller afsluttende vejstrækning af kombineret transport og ikke-bilateral international transport;;216;B20240021605;https://www.retsinformation.dk/eli/lta/2024/216
B;Bekendtgørelse om sikkerhedsrådgivere for vejtransport af farligt gods;;1618;B20230161805;https://www.retsinformation.dk/eli/lta/2023/1618
B;Bekendtgørelse om køretøjer i forsøg med dobbelttrailer-vogntog;;1605;B20230160505;https://www.retsinformation.dk/eli/lta/2023/1605
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til færdselslov for Grønland;;1329;B20230132905;https://www.retsinformation.dk/eli/lta/2023/1329
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb;;1328;B20230132805;https://www.retsinformation.dk/eli/lta/2023/1328
B;Bekendtgørelse om udførelse af syn af motorcykler ved vejsiden;;1124;B20230112405;https://www.retsinformation.dk/eli/lta/2023/1124
B;Bekendtgørelse om udførelse af syn af erhvervskøretøjer ved vejsiden;;1123;B20230112305;https://www.retsinformation.dk/eli/lta/2023/1123
B;Bekendtgørelse om overgangsregler for godkendelse af nye individuelle motorkøretøjer m.v.;;996;B20230099605;https://www.retsinformation.dk/eli/lta/2023/996
B;Bekendtgørelse om særtransport;;635;B20230063505;https://www.retsinformation.dk/eli/lta/2023/635
B;Bekendtgørelse om vejtransport af farligt gods;;596;B20230059605;https://www.retsinformation.dk/eli/lta/2023/596
B;Bekendtgørelse om autorisation til installering, eftersyn, kontrol og reparation af takografer;;579;B20230057905;https://www.retsinformation.dk/eli/lta/2023/579
B;Bekendtgørelse om højere hastighedsgrænser for særligt indrettede biler, som anvendes af statslige myndigheder;;3;B20230000305;https://www.retsinformation.dk/eli/lta/2023/3
B;Bekendtgørelse om deltagelse i en alkolåsordning;;1523;B20220152305;https://www.retsinformation.dk/eli/lta/2022/1523
B;Bekendtgørelse om ændring af bekendtgørelse om særlige krav til biler til erhvervsmæssig persontransport;;1509;B20220150905;https://www.retsinformation.dk/eli/lta/2022/1509
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb;;1456;B20220145605;https://www.retsinformation.dk/eli/lta/2022/1456
B;Bekendtgørelse om udlejning af motorkøretøjer uden fører;;992;B20220099205;https://www.retsinformation.dk/eli/lta/2022/992
B;Bekendtgørelse om ændring af bekendtgørelse om undervisningsplan for køreuddannelsen til lille bus (kategori D1);;931;B20220093105;https://www.retsinformation.dk/eli/lta/2022/931
B;Bekendtgørelse om ændring af bekendtgørelse om undervisningsplan for køreuddannelsen til lille bus med stort påhængskøretøj (kategori D1/E);;930;B20220093005;https://www.retsinformation.dk/eli/lta/2022/930
B;Bekendtgørelse om ændring af bekendtgørelse om særlige krav til biler til erhvervsmæssig persontransport;;781;B20220078105;https://www.retsinformation.dk/eli/lta/2022/781
B;Bekendtgørelse om tilgængeliggørelse på markedet af taxametre og gasanalysatorer til udstødningsgas;;778;B20220077805;https://www.retsinformation.dk/eli/lta/2022/778
B;Bekendtgørelse om ændring af bekendtgørelse om visse former for kombineret godstransport;;242;B20220024205;https://www.retsinformation.dk/eli/lta/2022/242
C;Cirkulære om ophævelse af cirkulæreskrivelse om kørsel med dansk registreret campingvogn koblet til bil registreret i udlandet og cirkulæreskrivelse om kørsel med dansk registreret campingvogn koblet til bil registreret på Færøerne;;9401;C20210940109;https://www.retsinformation.dk/eli/retsinfo/2021/9401
B;Bekendtgørelse om ændring af bekendtgørelse om taxikørsel;;2687;B20210268705;https://www.retsinformation.dk/eli/lta/2021/2687
B;Bekendtgørelse om ændring af bekendtgørelse om fritagelse for partikeludledningsafgift ved eftermontering af partikelfilter;;2686;B20210268605;https://www.retsinformation.dk/eli/lta/2021/2686
B;Bekendtgørelse om ændring af bekendtgørelse om krav til sikkerhedsudstyr til børn i biler;;2459;B20210245905;https://www.retsinformation.dk/eli/lta/2021/2459
B;Bekendtgørelse om ændring af bekendtgørelse om godkendelse af nye to- og trehjulede køretøjer m.v.;;2458;B20210245805;https://www.retsinformation.dk/eli/lta/2021/2458
B;Bekendtgørelse om ændring af bekendtgørelse om forsøgsordning for speed pedelecs;;2457;B20210245705;https://www.retsinformation.dk/eli/lta/2021/2457
B;Bekendtgørelse om ændring af bekendtgørelse om cyklers indretning og udstyr m.v.;;2456;B20210245605;https://www.retsinformation.dk/eli/lta/2021/2456
B;Bekendtgørelse om ændring af bekendtgørelse om godkendelse af nye landbrugs- og skovbrugskøretøjer m.v.;;2440;B20210244005;https://www.retsinformation.dk/eli/lta/2021/2440
B;Bekendtgørelse om ændring af bekendtgørelse om godkendelse af nye motorkøretøjer og påhængskøretøjer dertil m.v.;;2436;B20210243605;https://www.retsinformation.dk/eli/lta/2021/2436
B;Bekendtgørelse om regulering af forsikringsdækning i henhold til færdselsloven;;2260;B20210226005;https://www.retsinformation.dk/eli/lta/2021/2260
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til færdselslov for Grønland;;2259;B20210225905;https://www.retsinformation.dk/eli/lta/2021/2259
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til bekendtgørelse om afholdelse af motorløb på bane;;2258;B20210225805;https://www.retsinformation.dk/eli/lta/2021/2258
B;Bekendtgørelse om undervisningsplan for kursus i alkohol, narko og trafik (ANT-kursus);;1844;B20210184405;https://www.retsinformation.dk/eli/lta/2021/1844
B;Bekendtgørelse om udstedelse af takografkort;;1832;B20210183205;https://www.retsinformation.dk/eli/lta/2021/1832
B;Bekendtgørelse om forsøg med selvkørende enheder;;941;B20210094105;https://www.retsinformation.dk/eli/lta/2021/941
B;Bekendtgørelse om ændring af bekendtgørelse om forsøgsordning for selvbalancerende køretøj og motoriseret skateboard;;56;B20210005605;https://www.retsinformation.dk/eli/lta/2021/56
B;Bekendtgørelse om ændring af bekendtgørelse om forsøgsordning for motoriseret løbehjul;;55;B20210005505;https://www.retsinformation.dk/eli/lta/2021/55
C;Cirkulære om ophævelse af cirkulære om samarbejde mellem politiet og Færdselsstyrelsen om gennemførelse af syn ved vejsiden af erhvervskøretøjer;;9612;C20200961209;https://www.retsinformation.dk/eli/retsinfo/2020/9612
B;Bekendtgørelse om ændring af bekendtgørelse om køretøjer i forsøg med modulvogntog;;2048;B20200204805;https://www.retsinformation.dk/eli/lta/2020/2048
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til bekendtgørelse om afholdelse af motorløb på bane;;1673;B20200167305;https://www.retsinformation.dk/eli/lta/2020/1673
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til færdselslov for Grønland;;1672;B20200167205;https://www.retsinformation.dk/eli/lta/2020/1672
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til færdselsloven;;1671;B20200167105;https://www.retsinformation.dk/eli/lta/2020/1671
B;Bekendtgørelse om godkendelse af nye motorkøretøjer og påhængskøretøjer dertil m.v.;;1269;B20200126905;https://www.retsinformation.dk/eli/lta/2020/1269
B;Bekendtgørelse om udpegelse af tekniske tjenester på det køretøjstekniske område i henhold til visse forordninger;;1268;B20200126805;https://www.retsinformation.dk/eli/lta/2020/1268
B;Bekendtgørelse om godkendelse af nye to- og trehjulede køretøjer m.v;;1267;B20200126705;https://www.retsinformation.dk/eli/lta/2020/1267
B;Bekendtgørelse om godkendelse af nye landbrugs- og skovbrugskøretøjer m.v.;;1266;B20200126605;https://www.retsinformation.dk/eli/lta/2020/1266
B;Bekendtgørelse om ændring af bekendtgørelse om energi- og miljøkrav til taxier m.v.;;1080;B20200108005;https://www.retsinformation.dk/eli/lta/2020/1080
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til stor bus med stort påhængskøretøj (kategori D/E);;770;B20200077005;https://www.retsinformation.dk/eli/lta/2020/770
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til stor bus (kategori D);;765;B20200076505;https://www.retsinformation.dk/eli/lta/2020/765
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til lille bus med stort påhængskøretøj (kategori D1/E);;764;B20200076405;https://www.retsinformation.dk/eli/lta/2020/764
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til lille bus (kategori D1);;763;B20200076305;https://www.retsinformation.dk/eli/lta/2020/763
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til stor lastbil med stort påhængskøretøj (kategori C/E);;762;B20200076205;https://www.retsinformation.dk/eli/lta/2020/762
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til stor lastbil (kategori C);;761;B20200076105;https://www.retsinformation.dk/eli/lta/2020/761
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til lille lastbil med stort påhængskøretøj (kategori C1/E);;760;B20200076005;https://www.retsinformation.dk/eli/lta/2020/760
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til lille lastbil (kategori C1);;759;B20200075905;https://www.retsinformation.dk/eli/lta/2020/759
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til almindelig bil med stort påhængskøretøj (kategori B/E);;758;B20200075805;https://www.retsinformation.dk/eli/lta/2020/758
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til almindelig bil (kategori B);;757;B20200075705;https://www.retsinformation.dk/eli/lta/2020/757
B;Bekendtgørelse om undervisningsplan for køreuddannelse til motorcykel (kategori A1, A2 og A);;756;B20200075605;https://www.retsinformation.dk/eli/lta/2020/756
B;Bekendtgørelse om undervisningsplan for køreuddannelsen til stor knallert (kategori AM);;755;B20200075505;https://www.retsinformation.dk/eli/lta/2020/755
B;Bekendtgørelse om taxikørsel;Taxibekendtgørelsen;1244;B20190124405;https://www.retsinformation.dk/eli/lta/2019/1244
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til færdselslov for Grønland;;1142;B20190114205;https://www.retsinformation.dk/eli/lta/2019/1142
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til færdselsloven;;1137;B20190113705;https://www.retsinformation.dk/eli/lta/2019/1137
B;Bekendtgørelse om regulering af forsikringsdækningsbeløb i henhold til bekendtgørelse om afholdelse af motorløb på bane;;1136;B20190113605;https://www.retsinformation.dk/eli/lta/2019/1136
B;Bekendtgørelse om ændring af bekendtgørelse om slæbning af køretøjer;;1056;B20190105605;https://www.retsinformation.dk/eli/lta/2019/1056
B;Bekendtgørelse om ændring af bekendtgørelse om energi- og miljøkrav til taxier m.v.;;715;B20190071505;https://www.retsinformation.dk/eli/lta/2019/715
B;Bekendtgørelse om ændring af bekendtgørelse om forsøgsordning for selvbalancerende køretøj og motoriseret skateboard;;666;B20190066605;https://www.retsinformation.dk/eli/lta/2019/666
B;Bekendtgørelse om ændring af bekendtgørelse om forsøgsordning for motoriseret løbehjul;;665;B20190066505;https://www.retsinformation.dk/eli/lta/2019/665
C;Cirkulæreskrivelse om ophævelse af cirkulæreskrivelse om fritagelse for pligten til at anvende styrthjelm;;10085;C20181008510;https://www.retsinformation.dk/eli/retsinfo/2018/10085
B;Bekendtgørelse om ændring af bekendtgørelse om afholdelse af motorløb på bane;;605;B20180060505;https://www.retsinformation.dk/eli/lta/2018/605
B;Bekendtgørelse om barnesæde på tohjulet motorcykel;;666;B20090066605;https://www.retsinformation.dk/eli/lta/2009/666
B;Bekendtgørelse om ændring af bekendtgørelse om køretøjers indretning og udstyr i Grønland\n(Sikkerhedsseler i biler);;1077;B20080107705;https://www.retsinformation.dk/eli/lta/2008/1077
B;Bekendtgørelse om køretøjer i forsøg med modulvogntog;;1076;B20080107605;https://www.retsinformation.dk/eli/lta/2008/1076
B;Bekendtgørelse om synsfri sammenkobling af lastbil og påhængskøretøj med en tilladt totalvægt på over 3.500 kg;;1006;B20080100605;https://www.retsinformation.dk/eli/lta/2008/1006
B;Bekendtgørelse om særlige krav til busser;;1487;B20070148705;https://www.retsinformation.dk/eli/lta/2007/1487
A;Lov om ændring af lov om taxikørsel m.v.\n(Etablering af kommunale fællesskaber);;1591;A20060159130;https://www.retsinformation.dk/eli/lta/2006/1591
B;Bekendtgørelse om ophævelse af bekendtgørelse om Tempo-100-godkendelse af busser;;249;B20050024905;https://www.retsinformation.dk/eli/lta/2005/249
B;Bekendtgørelse om ændring af bekendtgørelse om synsfri sammenkobling af bil og påhængskøretøj med en tilladt totalvægt på højst 3.500 kg;;245;B20050024505;https://www.retsinformation.dk/eli/lta/2005/245
B;Bekendtgørelse om ophævelse af forskellige bekendtgørelser udstedt i henhold til færdselsloven;;242;B20050024205;https://www.retsinformation.dk/eli/lta/2005/242
B;Bekendtgørelse om indretning og udstyr for køretøjer, der anvendes til offentlig befordring af skoleelever;;1341;B20040134105;https://www.retsinformation.dk/eli/lta/2004/1341
B;Meddelelse om køretøjers indretning og udstyr mv. nr. 1823 AL-KO AKS 1300 / 2000 / 2002 / 2004 / 3004 kuglekobling med stabiliseringsanordning.;;9542;B20030954205;https://www.retsinformation.dk/eli/retsinfo/2003/9542
C;Meddelelse om køretøjers indretning og udstyr mv. nr. 1806 Slidgrænse for bremseskiver til Land Rover og Range Rover;;9279;C20020927954;https://www.retsinformation.dk/eli/retsinfo/2002/9279
B;Bekendtgørelse om ændring af bekendtgørelse om synsfri sammenkobling af bil og påhængskøretøj med en tilladt totalvægt på højst 3.500 kg;;59;B20020005905;https://www.retsinformation.dk/eli/lta/2002/59
C;Meddelelse om køretøjers indretning og udstyr mv. nr. 1787 Godkendelse af højrestyrede biler til kørsel på danske grænsenummerplader;;12073;C20011207354;https://www.retsinformation.dk/eli/retsinfo/2001/12073
C;Cirkulæreskrivelse om Schengen-samarbejdets betydning for registreringsbekendtgørelsens regler om løse prøveskilte, transittilladelser samt feriekørsel på danske grænsenummerplader;;11881;C20011188110;https://www.retsinformation.dk/eli/retsinfo/2001/11881
C;Meddelelse om køretøjers indretning og udstyr mv. nr. 1781. Slidgrænse for forreste bremseskiver til VW Golf, Golf Variant og Bora, type 1J.;;11856;C20011185654;https://www.retsinformation.dk/eli/retsinfo/2001/11856
B;Bekendtgørelse om regulering af erstatningsbeløb i henhold til færdselsloven;;932;B20010093205;https://www.retsinformation.dk/eli/lta/2001/932
B;Bekendtgørelse om regulering af betalingsbeløb i henhold til færdselsloven;;931;B20010093105;https://www.retsinformation.dk/eli/lta/2001/931
C;Vejledning om bekendtgørelse om afholdelse af motorløb på bane;;11282;C20001128260;https://www.retsinformation.dk/eli/retsinfo/2000/11282
C;Meddelelse om køretøjers indretning og udstyr m.v. nr. 1777 Brugergrænseflader for IT-systemer i biler;;9544;C20000954454;https://www.retsinformation.dk/eli/retsinfo/2000/9544
B;Bekendtgørelse om regulering af erstatningsbeløb i henhold til færdselsloven;;989;B20000098905;https://www.retsinformation.dk/eli/lta/2000/989
C;Cirkulæreskrivelse om ændring af kørekortbekendtgørelsen og kørekortcirkulæret;;60413;C19996041310;https://www.retsinformation.dk/eli/retsinfo/1999/60413
C;Orientering om nye regler for kørsel med udenlandske firmabiler mv. her i landet for personer med bopæl i Danmark;;10718;C19991071860;https://www.retsinformation.dk/eli/retsinfo/1999/10718
C;Cirkulæreskrivelse om kørekortbekendtgørelsens regler om synskravene;;9645;C19990964510;https://www.retsinformation.dk/eli/retsinfo/1999/9645
B;Bekendtgørelse om regulering af erstatningsbeløb i henhold til færdselsloven;;802;B19990080205;https://www.retsinformation.dk/eli/lta/1999/802
B;Bekendtgørelse om ændring af bekendtgørelse om installation og plombering af hastighedsbegrænsere i lastbiler og busser;;267;B19990026705;https://www.retsinformation.dk/eli/lta/1999/267
B;Bekendtgørelse om E- og e-godkendelse af køretøjers indretning og udstyr mv.;;74;B19990007405;https://www.retsinformation.dk/eli/lta/1999/74
C;Orienteringsskrivelse vedrørende transport af farligt gods med slamsuger;;60496;C19986049654;https://www.retsinformation.dk/eli/retsinfo/1998/60496
C;Cirkulæreskrivelse om præcisering af reglerne for kørelærerprøvens forprøve (teoriprøve);;60263;C19986026310;https://www.retsinformation.dk/eli/retsinfo/1998/60263
C;Bilag D og E i Vejtransportrådets årsberetning for 1997;;60262;C19986026254;https://www.retsinformation.dk/eli/retsinfo/1998/60262
C;Orienteringsskrivelse vedrørende kørsel med hundevogn;;60260;C19986026054;https://www.retsinformation.dk/eli/retsinfo/1998/60260
C;Cirkulæreskrivelse om ændring af fremgangsmåden ved afholdelse af kørelærerprøvens forprøve;;60045;C19986004510;https://www.retsinformation.dk/eli/retsinfo/1998/60045
C;Cirkulæreskrivelse om inddragelse af nummerplader;;60040;C19986004010;https://www.retsinformation.dk/eli/retsinfo/1998/60040
C;Cirkulæreskrivelse om gensidig anerkendelse af registreringslandets kendingsbogstaver for motorkøretøjer og påhængskøretøjer dertil inden for Fællesskabet.;;9034;C19990903410;https://www.retsinformation.dk/eli/retsinfo/1998/9034
C;Vejledning om anvendelse af koder og underkoder og om forelæggelse af sager for Statens Bilinspektion i forbindelse med udstedelse af kørekort;;60421;C19976042160;https://www.retsinformation.dk/eli/retsinfo/1997/60421
C;Orienteringsskrivelse vedrørende køreuddannelse i forbindelse med ombytning af Grønlandsk kørekort til dansk kørekort særligt vedrørende øvelser på lukket øvelsesplads;;60259;C19986025954;https://www.retsinformation.dk/eli/retsinfo/1997/60259
C;Meddelelse om køretøjers indretning og udstyr mv. nr 1709 (typegodkendelse efter anmeldelse af lastbiler og busser med trykluftbremser(*1);;17134;C19971713432;https://www.retsinformation.dk/eli/retsinfo/1997/17134
C;Cirkulæreskrivelse om den nye kørekortsbekendtgørelse mv.;;17121;C19971712110;https://www.retsinformation.dk/eli/retsinfo/1997/17121
C;Meddelelse om køretøjers indretning og udstyr mv. nr. 1705 (ny ildslukkerstandard) *);;17105;C19971710532;https://www.retsinformation.dk/eli/retsinfo/1997/17105
C;Meddelelse om køretøjers indretning og udstyr mv. nr 1689;;60429;C19966042932;https://www.retsinformation.dk/eli/retsinfo/1996/60429
C;Meddelelse om køretøjers indretning og udstyr mv. nr 1704 (typegodkendelse efter anmeldelse)*1;;17121;C19961712132;https://www.retsinformation.dk/eli/retsinfo/1996/17121
C;Meddelelse om køretøjers indretning og udstyr mv. nr 1700 (meddelelser om køretøjers indretning og udstyr)*1;;17113;C19961711332;https://www.retsinformation.dk/eli/retsinfo/1996/17113
C;Meddelelse om køretøjers indretning og udstyr nr. 1679 (* 1);;17601;C19951760132;https://www.retsinformation.dk/eli/retsinfo/1995/17601
C;Meddelelse om køretøjers indretning og udstyr mv. nr. 1680 Kørelys (* 1);;17600;C19951760032;https://www.retsinformation.dk/eli/retsinfo/1995/17600
C;Cirkulæreskrivelse om pligten til at anvende sikkerhedsudstyr for børn under 3 år;;17351;C19951735109;https://www.retsinformation.dk/eli/retsinfo/1995/17351
C;Orienteringsskrivelse om hastighedsbegrænsere i lastbiler og busser;;17260;C19951726032;https://www.retsinformation.dk/eli/retsinfo/1995/17260
C;Meddelelse om køretøjers indretning og udstyr m.v. nr. 1675 (Forøgelse af 'påhængskøretøjs største totalvægt med bremser')(* 1);;17042;C19951704232;https://www.retsinformation.dk/eli/retsinfo/1995/17042
C;Cirkulæreskrivelse til politiet (Cirkulæreskrivelse om forsikring for motorløb);;17008;C19951700810;https://www.retsinformation.dk/eli/retsinfo/1995/17008
C;Meddelelse om køretøjers indretning og udstyr m.v. nr. 1669 (Westalia SSK kuglekobling med stabiliseringsanordning)(* 1);;17004;C19951700432;https://www.retsinformation.dk/eli/retsinfo/1995/17004
